intercept,SC04Q01,RATCMP2,treat,Female,ST013Q01,ST034Q01,BELONG,ST121Q01,ST118Q04,ST011Q06,ST011Q07,MISCED,HISCED,HOMEPOS,ESCS
0.0006558,5.44E-05,-6.68E-05,-0.0004811,-0.0001669,3.80E-06,5.08E-05,-5.15E-05,-4.40E-06,2.10E-06,-1.60E-06,7.10E-06,-4.58E-05,3.69E-05,-3.25E-05,-6.40E-06
5.44E-05,0.0005442,6.96E-05,-0.0001934,-9.07E-05,2.13E-05,-3.29E-05,3.82E-05,-7.40E-06,1.59E-05,-1.00E-05,4.50E-06,-1.73E-05,-2.38E-05,-3.73E-05,6.41E-05
-6.68E-05,6.96E-05,0.0009164,7.83E-05,-1.86E-05,-3.69E-05,-7.00E-06,1.84E-05,-1.20E-06,2.37E-05,3.40E-06,2.64E-05,-7.27E-05,8.07E-05,1.86E-05,8.60E-06
-0.0004811,-0.0001934,7.83E-05,0.0054265,-0.0001549,8.92E-05,-0.0001891,9.39E-05,5.20E-05,8.57E-05,-3.91E-05,-3.71E-05,0.0001178,-3.70E-05,4.30E-05,-0.0001128
-0.0001669,-9.07E-05,-1.86E-05,-0.0001549,0.0003401,-9.30E-06,3.60E-06,-4.30E-06,9.10E-06,-6.52E-05,-1.40E-06,1.24E-05,1.12E-05,-3.23E-05,-1.87E-05,5.56E-05
3.80E-06,2.13E-05,-3.69E-05,8.92E-05,-9.30E-06,0.0001553,3.00E-07,8.80E-06,-1.00E-07,1.86E-05,-7.10E-06,2.04E-05,-2.00E-07,1.60E-06,-3.84E-05,-3.53E-05
5.08E-05,-3.29E-05,-7.00E-06,-0.0001891,3.60E-06,3.00E-07,0.0001767,-0.0001319,-1.70E-06,3.70E-06,-1.15E-05,-1.79E-05,-3.56E-05,2.80E-05,-1.19E-05,-6.30E-06
-5.15E-05,3.82E-05,1.84E-05,9.39E-05,-4.30E-06,8.80E-06,-0.0001319,0.0001908,6.70E-06,2.76E-05,5.20E-06,2.66E-05,1.87E-05,-1.53E-05,0,7.70E-06
-4.40E-06,-7.40E-06,-1.20E-06,5.20E-05,9.10E-06,-1.00E-07,-1.70E-06,6.70E-06,9.31E-05,-1.14E-05,-7.10E-06,1.23E-05,1.15E-05,1.01E-05,8.90E-06,-1.83E-05
2.10E-06,1.59E-05,2.37E-05,8.57E-05,-6.52E-05,1.86E-05,3.70E-06,2.76E-05,-1.14E-05,0.0001205,-6.10E-06,1.44E-05,-1.91E-05,3.57E-05,1.60E-05,-2.33E-05
-1.60E-06,-1.00E-05,3.40E-06,-3.91E-05,-1.40E-06,-7.10E-06,-1.15E-05,5.20E-06,-7.10E-06,-6.10E-06,9.81E-05,-6.00E-07,1.30E-06,1.60E-06,1.62E-05,1.21E-05
7.10E-06,4.50E-06,2.64E-05,-3.71E-05,1.24E-05,2.04E-05,-1.79E-05,2.66E-05,1.23E-05,1.44E-05,-6.00E-07,0.0001287,1.89E-05,0,4.03E-05,3.00E-07
-4.58E-05,-1.73E-05,-7.27E-05,0.0001178,1.12E-05,-2.00E-07,-3.56E-05,1.87E-05,1.15E-05,-1.91E-05,1.30E-06,1.89E-05,0.0002221,-0.0001541,2.42E-05,-3.01E-05
3.69E-05,-2.38E-05,8.07E-05,-3.70E-05,-3.23E-05,1.60E-06,2.80E-05,-1.53E-05,1.01E-05,3.57E-05,1.60E-06,0,-0.0001541,0.0003318,8.88E-05,-0.0001851
-3.25E-05,-3.73E-05,1.86E-05,4.30E-05,-1.87E-05,-3.84E-05,-1.19E-05,0,8.90E-06,1.60E-05,1.62E-05,4.03E-05,2.42E-05,8.88E-05,0.0002527,-0.0002005
-6.40E-06,6.41E-05,8.60E-06,-0.0001128,5.56E-05,-3.53E-05,-6.30E-06,7.70E-06,-1.83E-05,-2.33E-05,1.21E-05,3.00E-07,-3.01E-05,-0.0001851,-0.0002005,0.0003917
